URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/CodeSystem/additional-binding-purpose,5.0.0,active,,AdditionalBindingPurposeCodes,Additional Binding Purpose Codes,"Additional Binding Purpose","ValueSet/additional-binding-purpose"
http://hl7.org/fhir/CodeSystem/fhirpath-types,5.0.0,active,"2.16.840.1.113883.4.642.4.1803",FHIRPathTypesCodeSystem,FHIRPath Types,"Data types defined by FHIRPath and used within the FHIR specification","ValueSet/elementdefinition-types"
http://hl7.org/fhir/CodeSystem/measure-aggregate-method,5.0.0,active,"2.16.840.1.113883.4.642.4.2044",MeasureAggregateMethod,Measure Aggregate Method,"Aggregation method for a measure (e.g. sum, average, median, minimum, maximum, count)","ValueSet/measure-aggregate-method"
http://hl7.org/fhir/FHIR-version,5.0.0,active,"2.16.840.1.113883.4.642.4.1310",FHIRVersion,FHIRVersion,"All published FHIR Versions.","ValueSet/FHIR-version"
http://hl7.org/fhir/action-cardinality-behavior,5.0.0,active,"2.16.840.1.113883.4.642.4.808,2.16.840.1.113883.4.642.1.791",ActionCardinalityBehavior,Action Cardinality Behavior,"Defines behavior for an action or a group for how many times that item may be repeated.","ValueSet/action-cardinality-behavior"
http://hl7.org/fhir/action-code,5.0.0,active,"2.16.840.1.113883.4.642.4.1944",ActionCode,Action Code,"Provides examples of actions to be performed.","ValueSet/action-code"
http://hl7.org/fhir/action-condition-kind,5.0.0,active,"2.16.840.1.113883.4.642.1.799,2.16.840.1.113883.4.642.4.816",ActionConditionKind,Action Condition Kind,"Defines the kinds of conditions that can appear on actions.","ValueSet/action-condition-kind"
http://hl7.org/fhir/action-grouping-behavior,5.0.0,active,"2.16.840.1.113883.4.642.4.800,2.16.840.1.113883.4.642.1.783",ActionGroupingBehavior,Action Grouping Behavior,"Defines organization behavior of a group.","ValueSet/action-grouping-behavior"
http://hl7.org/fhir/action-participant-function,5.0.0,active,"2.16.840.1.113883.4.642.4.1946",ActionParticipantFunction,Action Participant Function,"The function performed by the participant for the action.","ValueSet/action-participant-function"
http://hl7.org/fhir/action-participant-type,5.0.0,active,"2.16.840.1.113883.4.642.1.795,2.16.840.1.113883.4.642.4.812",ActionParticipantType,Action Participant Type,"The type of participant for the action.","ValueSet/action-participant-type"
http://hl7.org/fhir/action-precheck-behavior,5.0.0,active,"2.16.840.1.113883.4.642.1.789,2.16.840.1.113883.4.642.4.806",ActionPrecheckBehavior,Action Precheck Behavior,"Defines selection frequency behavior for an action or group.","ValueSet/action-precheck-behavior"
http://hl7.org/fhir/action-reason-code,5.0.0,active,"2.16.840.1.113883.4.642.4.1945",ActionReasonCode,Action Reason Code,"Provides examples of reasons for actions to be performed.","ValueSet/action-reason-code"
http://hl7.org/fhir/action-relationship-type,5.0.0,active,"2.16.840.1.113883.4.642.1.797,2.16.840.1.113883.4.642.4.814",ActionRelationshipType,Action Relationship Type,"Defines the types of relationships between actions.","ValueSet/action-relationship-type"
http://hl7.org/fhir/action-required-behavior,5.0.0,active,"2.16.840.1.113883.4.642.1.787,2.16.840.1.113883.4.642.4.804",ActionRequiredBehavior,Action Required Behavior,"Defines expectations around whether an action or action group is required.","ValueSet/action-required-behavior"
http://hl7.org/fhir/action-selection-behavior,5.0.0,active,"2.16.840.1.113883.4.642.1.785,2.16.840.1.113883.4.642.4.802",ActionSelectionBehavior,Action Selection Behavior,"Defines selection behavior of a group.","ValueSet/action-selection-behavior"
http://hl7.org/fhir/binding-strength,5.0.0,active,"2.16.840.1.113883.4.642.4.44",BindingStrength,BindingStrength,"Indication of the degree of conformance expectations associated with a binding.","ValueSet/binding-strength"
http://hl7.org/fhir/codesystem-content-mode,5.0.0,active,"2.16.840.1.113883.4.642.1.766,2.16.840.1.113883.4.642.4.783",CodeSystemContentMode,Code System Content Mode,"The extent of the content of the code system (the concepts and codes it defines) are represented in a code system resource.","ValueSet/codesystem-content-mode"
http://hl7.org/fhir/codesystem-hierarchy-meaning,5.0.0,active,"2.16.840.1.113883.4.642.1.768,2.16.840.1.113883.4.642.4.785",CodeSystemHierarchyMeaning,Code System Hierarchy Meaning,"The meaning of the hierarchy of concepts in a code system.","ValueSet/codesystem-hierarchy-meaning"
http://hl7.org/fhir/compartment-type,5.0.0,active,"2.16.840.1.113883.4.642.4.787,2.16.840.1.113883.4.642.1.770",CompartmentType,Compartment Type,"Which type a compartment definition describes.","ValueSet/compartment-type"
http://hl7.org/fhir/concept-property-type,5.0.0,active,"2.16.840.1.113883.4.642.4.781,2.16.840.1.113883.4.642.1.764",PropertyType,Property Type,"The type of a property value.","ValueSet/concept-property-type"
http://hl7.org/fhir/constraint-severity,5.0.0,active,"2.16.840.1.113883.4.642.1.82",ConstraintSeverity,ConstraintSeverity,"SHALL applications comply with this constraint?","ValueSet/constraint-severity"
http://hl7.org/fhir/discriminator-type,5.0.0,active,"2.16.840.1.113883.4.642.1.92",DiscriminatorType,DiscriminatorType,"How an element value is interpreted when discrimination is evaluated.","ValueSet/discriminator-type"
http://hl7.org/fhir/examplescenario-actor-type,5.0.0,active,"2.16.840.1.113883.4.642.4.859",ExampleScenarioActorType,Example Scenario Actor Type,"The type of actor - system or human.","ValueSet/examplescenario-actor-type"
http://hl7.org/fhir/extension-context-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1013",ExtensionContextType,Extension Context Type,"How an extension context is interpreted.","ValueSet/extension-context-type"
http://hl7.org/fhir/fhir-old-types,5.0.0,active,"2.16.840.1.113883.4.642.4.2113",FHIROldTypes,Old FHIR Types,"An old resource name no longer used in this version of FHIR (deleted or renamed).","ValueSet/version-independent-all-resource-types"
http://hl7.org/fhir/fhir-types,5.0.0,active,"2.16.840.1.113883.4.642.4.1802",FHIRTypes,All FHIR Types,"One of the types defined as part of this version of FHIR.","ValueSet/fhir-types,ValueSet/participant-resource-types,ValueSet/all-resource-types,ValueSet/resource-types"
http://hl7.org/fhir/filter-operator,5.0.0,active,"2.16.840.1.113883.4.642.4.479,2.16.840.1.113883.4.642.1.472,2.16.840.1.113883.4.642.2.280",FilterOperator,Filter Operator,"The kind of operation to perform as a part of a property based filter.","ValueSet/filter-operator"
http://hl7.org/fhir/graph-compartment-rule,5.0.0,active,"2.16.840.1.113883.4.642.1.276,2.16.840.1.113883.4.642.4.281",GraphCompartmentRule,Graph Compartment Rule,"How a compartment must be linked.","ValueSet/graph-compartment-rule"
http://hl7.org/fhir/graph-compartment-use,5.0.0,active,"2.16.840.1.113883.4.642.4.283",GraphCompartmentUse,Graph Compartment Use,"Defines how a compartment rule is used.","ValueSet/graph-compartment-use"
http://hl7.org/fhir/guide-page-generation,5.0.0,active,"2.16.840.1.113883.4.642.4.999",GuidePageGeneration,Guide Page Generation,"A code that indicates how the page is generated.","ValueSet/guide-page-generation"
http://hl7.org/fhir/guide-parameter-code,5.0.0,active,"2.16.840.1.113883.4.642.4.997",GuideParameterCode,Guide Parameter Code,"GuideParameterCode","ValueSet/guide-parameter-code"
http://hl7.org/fhir/identifier-use,5.0.0,active,"2.16.840.1.113883.4.642.1.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
